Article_URL,Article_Title,Article_Author,Journal_Name,Journal_ISSN,Journal_eISSN,Article_Volume,Article_Issue,Article_Pages,Article_Date,Article_DOI,Article_CitedBy,Article_Author_University,Article_Author_City,Article_Author_Country,Article_Type,Article_OA
https://api.elsevier.com/content/abstract/scopus_id/85073558122,Libyan PR participants’ perceptions of and motivations for studying PR in Libya,Elareshi M.,Romanian Journal of Communication and Public Relations,14548100,23445440,21,2,23-38,10/2/2019,10.21018/rjcpr.2019.2.275,0,Al Ain University,Al Ain,United Arab Emirates,Article,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85073548002,Facebook communication and marketing influence on decision-making and choice of university student representatives: A student’s perspective,Chininga T.,Romanian Journal of Communication and Public Relations,14548100,23445440,21,2,21-Jul,10/2/2019,10.21018/rjcpr.2019.2.274,2,University of Fort Hare,Alice,South Africa,Article,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85073541287,"Shades of fake news: Manifestation, effects and ways to combat false information",Dumitrache A.,Romanian Journal of Communication and Public Relations,14548100,23445440,21,2,41-57,10/2/2019,10.21018/rjcpr.2019.2.276,1,Școala Naţională de Studii Politice și Administrative,Bucharest,Romania,Article,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078534017,The articulation of public problems within a communicative figuration approach,Ciocea M.,Romanian Journal of Communication and Public Relations,14548100,23445440,21,3,17-May,1/1/2019,10.21018/rjcpr.2019.3.279,0,Școala Naţională de Studii Politice și Administrative,Bucharest,Romania,Article,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078530066,Politics of culture and culture of politics on indian television news: A frame analysis of hindi television news debates in India,Fatma T.,Romanian Journal of Communication and Public Relations,14548100,23445440,21,3,37-50,1/1/2019,10.21018/rjcpr.2019.3.281,0,Jamia Millia Islamia,New Delhi,India,Article,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
