Article_URL,Article_Title,Article_Author,Journal_Name,Journal_ISSN,Journal_eISSN,Article_Volume,Article_Pages,Article_Date,Article_DOI,Article_CitedBy,Article_Author_University,Article_Author_City,Article_Author_Country,Article_Type,Article_OA,Article_Issue
https://api.elsevier.com/content/abstract/scopus_id/85085897445,Books in riga sent by Martin Ludwig Rhesa to Abraham Jakob Penzel,Kazakenaite E.,Knygotyra,2042061,23450053,72,166-182,6/25/2019,10.15388/Knygotyra.2019.72.24,0,Lietuvių kalbos institutas,Vilnius,Lithuania,Review,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85085879978,The library of ignacy oginski (1755-1786): A reflection of geneological and religious identity,Pacevičius A.,Knygotyra,2042061,23450053,72,90-140,6/25/2019,10.15388/Knygotyra.2019.72.22,0,Vilniaus universitetas,Vilnius,Lithuania,Review,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85085879553,The Wroblewski library history: Case of the purchase of the Plater's Pustynia estate book collection,Narbutiene D.,Knygotyra,2042061,23450053,72,141-165,6/25/2019,10.15388/Knygotyra.2019.72.23,0,Lietuvos Mokslu Akademijos Vrublevskiu Biblioteka,Vilnius,Lithuania,Review,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85085879458,Editions of the 1613 map of the grand duchy of Lithuania: Historiographical aspect,Braziuniene A.,Knygotyra,2042061,23450053,72,62-89,6/25/2019,10.15388/Knygotyra.2019.72.21,0,Vilniaus universitetas,Vilnius,Lithuania,Review,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85085873853,The publishing of international multilingual lithuanian periodicals (1904-1940),Petreikis T.,Knygotyra,2042061,23450053,72,233-254,6/25/2019,10.15388/Knygotyra.2019.72.27,0,Vilniaus universitetas,Vilnius,Lithuania,Review,TRUE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
